SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SOUTH INTERIOR KARNATAKA,2002,2,11.4,2.3,20.6,77.2,131.9,92.6,155.1,74.9,168.4,18.8,0.6,755.8,13.4,100,454.5,187.8
SOUTH INTERIOR KARNATAKA,2003,0.1,4.2,20.1,36.4,9.6,118.2,162.5,152.2,51.9,192.4,11.5,3.6,762.8,4.3,66.1,484.9,207.4
SOUTH INTERIOR KARNATAKA,2004,9.1,12.8,16.4,62.2,180.2,196.6,191.7,211.1,117.5,101.5,24,10.4,1133.4,21.9,258.7,716.8,136
SOUTH INTERIOR KARNATAKA,2005,7.2,3.9,3.2,76,74.7,138.7,333.5,233.2,145.5,241.8,56.3,5.3,1319.3,11.1,153.8,851,303.5
SOUTH INTERIOR KARNATAKA,2006,0.2,0.1,35.4,24.7,127.1,183.7,226.7,172.9,112,61.7,84.9,1.1,1030.5,0.3,187.2,695.3,147.7
SOUTH INTERIOR KARNATAKA,2007,0.1,0.3,0.9,39.8,76.7,216.7,267.2,245.5,198.5,152.5,18.2,14.6,1231,0.4,117.5,927.9,185.3
SOUTH INTERIOR KARNATAKA,2008,0.8,20.7,108.9,24.9,66.3,149.8,203.4,269.8,141.4,117.1,32.3,5.2,1140.6,21.5,200.1,764.4,154.6
SOUTH INTERIOR KARNATAKA,2009,0.1,0.1,27.3,25.4,101.3,101.6,324.7,153.2,247.9,98.2,55.7,22.9,1158.4,0.2,153.9,827.5,176.8
SOUTH INTERIOR KARNATAKA,2010,7.9,1.7,5.6,71.1,94.9,129.1,235.1,228.1,150.7,129.6,183.5,2.5,1239.7,9.5,171.6,743.1,315.5
SOUTH INTERIOR KARNATAKA,2011,2.1,12.4,12.4,80.2,83.5,177.1,202.4,199.5,111.2,144.8,56.7,5,1087.4,14.5,176.1,690.2,206.5
SOUTH INTERIOR KARNATAKA,2012,4.6,5.5,8.1,99,45.6,81.8,144.7,236.5,100.6,62.8,82.6,6.2,877.8,10.1,152.6,563.5,151.6
SOUTH INTERIOR KARNATAKA,2013,0.5,10.1,11.7,34.6,95.6,176.2,307.4,151.7,191.8,103.7,24.9,2.4,1110.7,10.6,142,827.1,131
SOUTH INTERIOR KARNATAKA,2014,0.4,2.4,17.7,46.7,130.5,106.8,271.6,254.6,161.6,152.9,20.2,18.7,1184.2,2.8,195,794.5,191.8
SOUTH INTERIOR KARNATAKA,2015,1.7,0.2,24.4,80.5,125.3,218.7,112,136.6,164.5,106.1,138.1,4.4,1112.5,1.9,230.2,631.8,248.6
